text,source,label,severity,language
2021 la யார் எல்லாம் பாக்கிறீங்க,youtube,,,Tamil
Sudhakar Oda expression tha vera level 🤣🤣🤣,youtube,,,Tanglish
3:11 Vera level 😂😂🔥🔥,youtube,,,Tanglish
Sudhagar the best teacher expression 😄😄😄,youtube,,,English
Sudhakar as school teacher 👍👏👏super!!,youtube,,,English
"யப்பா சாமி டேய்.... முடியல... சிரிச்சு சிரிச்சு வயிறு வலிக்குது.. 😂😂😂 பிரமாதம். எனக்கு ரொம்ப பிடிச்சது ""எவென் என்னைய அடிச்சானோ...""",youtube,,,Tamil
My only stress buster is gopi sudhaakar ' shows...,youtube,,,English
3:37 +2mark instead -2mark true fact bro,youtube,,,English
Me July 2025,youtube,,,English
Me from Malaysia,youtube,,,English
நானும் இப்ப தான் பார்த்தேன்,youtube,,,Tamil
Anytime u watch 100% laughter guarantee,youtube,,,English
Watching 2025 😂,youtube,,,English
Me also 😂😂,youtube,,,English
ஆமாஆமா,youtube,,,Tamil
தீபா நடிப்பு சூப்பர்,youtube,,,Tamil
Justin Ronaldo correctly said,youtube,,,English
Yes bro after a long time indha videos pakkuran but bore akkala semma acting both of them 🔥😎😍,youtube,,,English
Justin Ronaldo yo andha aalukku enna getup pottalum semmaya irukku ya,youtube,,,Tanglish
@isthisnvn aama bro Correct,youtube,,,Tanglish
Yes bro crct thaan.,youtube,,,English
"Tamilisai, hraha, nithi,deepa எல்லா கெட்டப்பும் செட் ஆவுதே எப்படிப்பா...",youtube,,,Tamil
@ammaponnu390 today watching,youtube,,,English
Vera level bro,youtube,,,Tanglish
I am always watching 👀,youtube,,,English
Today watching bro,youtube,,,English
Today watching,youtube,,,English
2022 now watching,youtube,,,English
Seri ippo enna panna solra,youtube,,,Tanglish
3 time watching,youtube,,,English
Today's shows this YouTube recommended,youtube,,,English
@Rajrohith2005 you playing freefire,youtube,,,English
I watched in 2017,youtube,,,English
Me to,youtube,,,English
Now I am watching this video,youtube,,,English
Boomer uncle,youtube,,,English
@soultube7199 hi bro nanum ipa than pathen,youtube,,,English
"I am watching in 2022,as well.",youtube,,,English
Yaar patha onnaku enna,youtube,,,Tanglish
It's 2022,youtube,,,English
Watching in 2023,youtube,,,English
Watching in 2022,youtube,,,English
Bro this is 2022,youtube,,,English
I am in 2022,youtube,,,English
I am 2022. Se.. watching...,youtube,,,English
Today i watching,youtube,,,English
@mickeldinesh2894 ok friends,youtube,,,English
Illa bro na 2022 la tha paatha,youtube,,,Tanglish
Now 2022. 5 time I'm seeing this,youtube,,,English
Today watching bro.. 2022 😅,youtube,,,English
Bro iam today watching👀,youtube,,,English
@_attitude_only_ 🤣🤣,youtube,,,English
Bro na 2022 la pakkuren bro,youtube,,,Tanglish
Naan 2022-ல இருந்து வரன் comment பண்ணுன இந்த 2021 நாய் செத்துப்போயிருச்சு 🥳😂,youtube,,,Tamil
Watching in22,youtube,,,English
2023 who?,youtube,,,English
2021 illa anna 2023 la pakkura,youtube,,,Tanglish
Watching from 2060 bro 🥸🔥🤣🤣🤣🤣😂,youtube,,,English
யாரெல்லாம் 2023 பார்க்கிறோம்,youtube,,,Tamil
திராவிட தேசத்தின் முக்ய மந்த்ரி இஸ்டாலின் சின்னமேளமு காரூ ஜிண்டாபாட் ஜிண்டாபாட்,youtube,,,Tamil
"டாஸ்மாக் கரன்ட் கட் காரன் கம்பி எண்ணுவது தான் கட்சிகளுக்கும், கூட்டணிகளுக்கும், நாட்டு மக்களுக்கும் நல்லது...",youtube,,,Tamil
2023/10th month,youtube,,,English
2023 leyum watching than bro!!,youtube,,,English
23 da dei 😂,youtube,,,Tanglish
Just 3 years later,youtube,,,English
Bro this is 2024 time is going faster😢😢😢,youtube,,,English
Oh shit I am watching on Dec 2024,youtube,,,English
Not only teacher every character,youtube,,,English
I'm watching in 2021 Feb 1,youtube,,,English
Is true bro nice my favourite shows,youtube,,,English
Only strasssa,youtube,,,English
அம்மா அப்பா அண்ணன் கொழுந்தியா பேரவை 😂 😂 அடேய்ய் 😂,youtube,,,Tamil
என்னா எதுக்கு அடிச்சிங்க.இருடி எங்க அப்பாவ கூட்டிட்டு வரன்.😃😃😄😄😆😆😅😅😃😃,youtube,,,Tamil
5:41...enna 7 uyir 7 mayir uh😂😂😂🤣🤣🤣vera level comedy.... ultimate,youtube,,,Tanglish
3:30 exactly my school teachere are same like him,youtube,,,English
#tnx 4 my childhood memories # nikkal kunthal # undertaker 7 uyir # hand cricket # Evan yennaya aduchano😘😘😘😘😉,youtube,,,English
என் வாழ்க்கையில் நடந்தது போலவே இருக்கு 😂😁😁😂😂,youtube,,,Tamil
Means what,youtube,,,English
நானும் த ப்ரோ🤣🤣🤣 triple h Undertaker m anna thambi 🤣🤣🤣🤣,youtube,,,English
Me also bro,youtube,,,English
2:08 classic👌..class ku oruthan epadi kandipa erupaan 😂😂..over reaction kuduthu escape aagirvaan 😂,youtube,,,Tanglish
dei echakala ... 😂andha Amma sonnatha Vida ...ninga sollumbothu... ultimate bro 😂😂😂😂,youtube,,,Tanglish
அம்மா அப்பா அண்ணன் கொளுந்தியா பேரவை! 😂,youtube,,,Tamil
"வீடியோ முடிஞ்சதும், Bloopers ம் கடைசில போடுங்க நண்பா... அதான் Full enjoyment👌",youtube,,,Tamil
2:39 Inniku ongaluku onnu tharaporen! Athu enna?.... ( WoW Semma performance ) :),youtube,,,English
2024 la யாரெல்லாம் பாக்குறீங்க,youtube,,,Tamil
The best part is from 0:00 to 11:19..Hit like if you agree..,youtube,,,English
"You Tube Channel Super Star Gopi Sudhakar ஞாபகம் வருதே nikkal Kundhal, Prayer மயக்கம், எவன் என்ன அடிச்சானோ, sir பேனா வாங்கறது, 8 th period PT, பேசினால் பெயர் எழுதுவது test paper, correction, அடி வாங்குவது 👏👌😢💓💟🏫📚📝",youtube,,,Tamil
5:38 அப்டியே ரெண்டு லார்ரிய சுண்டு விரல்ல இப்படி தூக்கிட்டு வந்தான் டா 😂😂,youtube,,,Tamil
08:14 semma bro nice penyaa where you boughte,youtube,,,English
Sudhakar perfectly suited for teacher role in this video 😄😄😄......,youtube,,,English
Mr.Incredible Channel screen play Mr. just for fun,youtube,,,English
Rasmidha S what's ah brillance,youtube,,,English
Gopi 's acting vera level..,youtube,,,Tanglish
இன்ஜினியரிங் காலேஜ் பாரிதாபங்கள் மாதிரி அங்க படிக்கற மாணவர்கள் பரிதாபங்கள் போடுங்க.....தாங்க முடியல....,youtube,,,Tamil
It's 2019 October still I'm watching,youtube,,,English
0:16 is litt,youtube,,,English
Where you bought this pen😂😂 slang same like my physics sir. ..,youtube,,,English
😂😂I am waiting in 2020,youtube,,,English
எனக்கு நடந்து இருக்கு,youtube,,,Tamil
Me too happened 🥺,youtube,,,English
"Gopi Miratitiga Ponga, Highlight Ah Antha 2mark Potutu Vera 2u Mark Ah Korachathutha, Enakum Ithulam Nadanthuruku broooo😢😢😢",youtube,,,Tanglish
Remembering School days.. Undertakerku 7 uyir and odd or even handcricket !!!,youtube,,,English
6:03 😂😂 குச்சிய நீற்ற கு கு கு கு........!!!!,youtube,,,Tamil
ரெம்ப நாள் கழிச்சு கண்ணீர் வர வர சிரிச்சே,youtube,,,Tamil
Sudhakar is looking like my school physics teacher 🤣🤣😅,youtube,,,English
Who else want Gopi and Sudhakar to be the next pair like Goundamani Senthil in Tamizh Cinema !!!!!,youtube,,,English
6:16 The expression the guy behind Gopi gives is exactly how we reacted :D,youtube,,,English
5:42 vera level🤣🤣🤣,youtube,,,Tanglish
வெகுநாள் கழிச்சு வயிறு குலுங்க சிரிச்சேன் அண்ணா! ரெண்டு பேருமே செம்ம!,youtube,,,Tamil
Not Better Parithabangal Than Engineering Parithabangal Till Now.......😍😍😍😍,youtube,,,English
3:00 see this 😂😂😂,youtube,,,English
Naanum tha,youtube,,,English
Who watch 2k19😁😁😁,youtube,,,English
I am seeing this in 2026,youtube,,,English
Can't control My laughing...hats off u both,youtube,,,English
Thumbnail Gopi vera level 😂😂😂😍,youtube,,,Tanglish
Semma voice....that powder make up....echchakala dialogue....Sudhakar innocent expressions😍just love themmmm,youtube,,,English
Pen moment yenaku nadanthiruku 😂😂😂vera level,youtube,,,Tanglish
only for 90s kids,youtube,,,English
"35 வயசு ஆச்சு இன்னும் தனியா தான் சுத்திட்டு இருக்கிறேன், என்ன நெனச்சி எனக்கே கேவலமா இருக்கு",youtube,,,Tamil
Now im realising.. why my parents strict at me in my small age time 😌💐,youtube,,,English
இப்பலா இந்த மாதிரி சின்ன பிள்ளைங்கள பார்த்தாலே பயமா இருக்கு,youtube,,,Tamil
As a teacher I am very scared of this kind of students,youtube,,,English
அரசு பள்ளிகளில் கடின உழைப்பால் படிக்கும் பிள்ளைகளும் இருக்கு... உங்களுக்கு அதெல்லாம் கண்ணுக்கு தெரியாது....,youtube,,,Tamil
இவளுகளுக்கு எல்லாம் ஆத்தா அப்பன் இருக்கானுங்களா இல்லையா?,youtube,,,Tamil
"Starting punch "" நாய்க்காதல்"" 200% உண்மை... நல்லபடியா படிச்சி வாழ்க்கையில முன்னேறனும் னு எண்ணத்தோட எதுங்க படிக்க போகுதுங்க 🤦‍♂️",youtube,,,Tamil
வாழ்க்கைல எப்படி இருக்கணும்னு யாருக்குமே தெரியல😂,youtube,,,Tamil
ஒத்த ரோசாக்களா ( பிள்ளைகளைப் பெற்றதாய் தந்தையர்கள்) புள்ளைங்க ரொம்ப அற்புதமா வளத்து இருக்கீங்க😂😂😂😂😂😂😂😂😂😂😂,youtube,,,Tamil
தரமான வீடியோ வேற லெவல் சூப்பர் எடிட்டிங் பக்கா சிரிப்பு அடக்க முடியால,youtube,,,Tamil
"Respect the girl who did goddess reel, 4:28",youtube,,,English
அப்பா அம்மா எல்லாரும் பையன் வசதியா இருக்கணும்னு சொல்லிட்டு இப்போ எவன்கூடயோ போறது தெரியாம இருகாங்க,youtube,,,Tamil
Naa school padikkum podhu thavani thaan evlo alaga irukkum boys ah paarthave vetkam varum nera nindu kooda pesave maattanga love irukkum aahana olukkamum irukkum viral nuni kooda mela pattadhu kedaiyadhu ❤,youtube,,,Tanglish
அப்போ எவளும் படிக்க போல.. 🤔🌍🫀,youtube,,,Tamil
வருங்கால கொத்தனார் சித்தாடும்😂,youtube,,,Tamil
Dont worry iam 37 old😂😂 eppadi pandratha veda nan single la ve erukalam bro❤❤,youtube,,,Tanglish
சிங்களன் சொல்ல ஈசியா இருக்கு ஆனா மனசுக்குள்ள கஷ்டமா இருக்கு,youtube,,,Tamil
Bro 90's kids thana neengalum 🎉,youtube,,,English
@Mastervj1 ஆமா நண்பா,youtube,,,Tamil
Bro பயப்பிடாம போய் பொண்ணுங்க கிட்ட போய் பிடிச்சிருக்குனு சொல்லு bro ஓகேனா love பண்ணு bro இல்லனா வேற பொன்னுட போய் சொல்லு bro naala 8 ponna love panna bro 8 me v2ku therinchi poittu bro vittutu so athunala 9 vatha ippa oru ponna paakura bro summa side adi bro apram velila aaichittu poi enjay pannu bro ithukku poi enna ninaicha kevalama irukkunu sollura bro 😂,youtube,,,Tanglish
@x_lonely_boy பணம் இருக்குனும் இல்லனா அழகா இருக்கணும் இரண்டுமே என்கிட்ட இல்ல,youtube,,,Tamil
Kavalai padathea bro marriage panna sethu poiruva nan marriage panni romba stressla iruken,youtube,,,Tanglish
கேவலம் நெனைக்காதீங்க நம்ம அப்பா அம்மா ஒழுகமா வளத்து இருகாங்க பெருமை படுங்க சகோதரா 😢😂,youtube,,,Tamil
Bro I am studying in 11th std Naanum oru ponna love pandra bro But in previous year I am studied in 10th nanga rendu perum committed My 10th mark is 439😅😅 Avanga mark vanthu 485🎉🎉❤❤,youtube,,,Tanglish
@ManiMani-har അയ്യോ എന്റെ ഗുരുവായൂരപ്പാ!,youtube,,,Malayalam
கிடைக்கும் ப்ரோ கவலைப்படாதீர்கள்😢,youtube,,,Tamil
அதே நிலமைதான் சகோதரா எனக்கும் வயது 32 ஆகின்றது,youtube,,,Tamil
நானும் அப்படித்தான் 33 வயசு கல்யாணம் இல்ல காதல் இல்லை குடி பழக்கம் இல்லை சிகிரெட் பழக்கம் இல்லை டீ காபி கூட குடிக்க மாட்டேன் இன்னும் பொன்னு அமையல என்னத சொல்றது,youtube,,,Tamil
Single tha gethu,youtube,,,English
48 வயசு ஆகுது இன்னும் கல்யாணம் ஆகாமல் இருக்காங்க என் மாமா பசங்க விடுங்க பாஸ் கவலை படாதீங்க,youtube,,,Tamil
Dont worry bro my husband 35 enaku 24 recent ah than marriage pannom.so late ah kidachalum best ah kidaikum.all the best for 90s kids,youtube,,,English
Mingle agita happy poirum brother,youtube,,,English
ஏ சங்கத்து ஆள கேவலமா பேசுனது எவண்டா 😂😂😂,youtube,,,Tamil
Bro enakku 40 bro achu 'anum single than,youtube,,,Tanglish
கண்டிப்பாக ஒரு நாள் கல்யாணம்ம்ம்ம்ம் ஆகலாம் 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,youtube,,,Tamil
இதுவும் கடந்து போகும் bro ❤❤❤😂,youtube,,,Tamil
"Family kka work panni life tholachutiye bro. Naa eppa feel pandren school, college, work place laa oru ponna kuda love pannala eppa ennoda age 26 naa eppa gulf erukken my hair kottithu. 😢😢",youtube,,,Tanglish
நாம யாருக்கு என்ன கெடுதல் செஞ்ச,youtube,,,Tamil
ஆமா தல......😢,youtube,,,Tamil
Don’t worry bro single life is better🎉🎉,youtube,,,English
சாவு சாவுல😅😊😂,youtube,,,Tamil
உனக்கு நீ தான் எல்லாம் தேடி தரேன் உனக்கு நீதாண்டா தேடி😂😊,youtube,,,Tamil
சனியானுங்க School la கேவால படுத்திருக்கிறது குஇதுங்க எதுக்கு இருக்கு 😡😡😡😡😡😡😡😡,youtube,,,Tamil
எனக்கு 33 வயசு ஆகுது எனக்கும் இன்னும் கல்யாணம் ஆகல 😢,youtube,,,Tamil
கவலை படாதிங்க ❤️,youtube,,,Tamil
Same to you I am 33,youtube,,,English
Sethuru bro 😢😢😢 yenake unna nenacha kastama iruku Just Fun…,youtube,,,Tanglish
These are children of absent parents who focus only on work. Not free parents,youtube,,,English
Mam i want to convey something to you .that you might think they are cheap but they just want to explore them may be the way was not good looking but you can't say that only govt . are doing this . And it was there lifestyle so please comment on this,youtube,,,English
அதிகமாக இப்படி தறுதலைகள் தான் இருக்குது,youtube,,,Tamil
So you should not talk about this tharkuris 🤷,youtube,,,English
Me too ..nanum insta la illa paravailla pa enna Mari innoru jeevan iruku😂,youtube,,,Tanglish
Mee also bro😂,youtube,,,English
Kothanar Velaiku Insta la Alu irukku bro 😂😂,youtube,,,Tanglish
Mee too bro,youtube,,,English
Correct my first lover s.subashini. .... Innaikku enga irukkaanganu theriyala... Eanakku 2 pen kulanthai .indrum avanga mela eanakku madhippu irukku... This is 90 kids....,youtube,,,Tanglish
"@MohamedNabi-n1u bro 90kids is unamaya love irunthathu,,,true love generation only 90$",youtube,,,Tanglish
It's true bro,youtube,,,English
தலைவன் சியான் விக்ரம் டயலாக் வேற லெவல் 😂,youtube,,,Tamil
Damn those 90's kids☺️ pavaga எங்க பாவம் எல்லாம் உங்கள😮சும்மா விடாது டா,youtube,,,Tamil
கௌர்மென்ட் ஸ்கூலையும் நல்லா படிக்கிறவங் நிறைய பேர் இருக்காங்க,youtube,,,Tamil
பெத்தவங்க படிக்கிறதுக்கு போன் வாங்கி குடுத்தா இந்த வேலை தேவையா.,youtube,,,Tamil
அந்த வீடியோவில் வர்ற all comments வேற லெவல் போங்க🤣🤣🤣🤣🤣🤣,youtube,,,Tamil
"After watch the last video, I was thinking my life is wast 😂😂😂😂",youtube,,,English
என் உயிர் தலைவன் அந்நியன் சியான் விக்ரம்😂 டயலாக் வேற லெவல்,youtube,,,Tamil
5:24. That friend who covered her face 😊 POV~ I don't know this tharkuri girls,youtube,,,English
நித்தியானந்தா சிரிப்பு அழகு,youtube,,,Tamil
School management defenetly should take action,youtube,,,English
All is Govt. School Uniform 🙄 no one is in the private school uniform,youtube,,,English
vinthu thavariya tharunam😂😂😂,youtube,,,English
0:28...Perfect words😂💯,youtube,,,English
நீங்க நல்லா தீவிரவாதி மாதிரி சுட வேணும்,youtube,,,Tamil
இந்த காலத்து 2 கிட்ஸ் இளைஞர்களை நினைத்து ரொம்ப வேதனைப்படுகிறேன் இந்த இளைஞர்கள் எல்லாம் என்னதான் ஆகப் போகிறார்கள் தெரியவில்லை,youtube,,,Tamil
1:40 idhu enga school 😂😂😂😂 paiyan da,youtube,,,Tanglish
90s Kids Ah Pirandha Yelarume Sandhosam Padanum... Namma Amma Appa Yevalo Kasta Pattu Nammala Vazhathanga ... Ana Yepo 2k nu Sli Vandhangalo Apovea Yela Kalacharamum Mudinjudhu,youtube,,,Tanglish
என்னால சில வீடியோவை பார்க்கும் போது சிரிப்பு அடக்கவே முடியல இந்த தறுதலை எல்லாம் எங்க பொறந்தது எதுக்கு பொறந்தது,youtube,,,Tamil
எல்லாம் government school பிள்ளைங்க தான் 😢,youtube,,,Tamil
என்னடா முடி இது 😂😂😂😂😂,youtube,,,Tamil
Last reel is hurt more ❤,youtube,,,English
"Opening title super pa😂😂😂, Teachers la romba pavam😢😮 Parents solla varthai illai😢 Future kothanar, sithal guarantee😅",youtube,,,Tanglish
Nice funny video bro realy very nice 😂🤣👏,youtube,,,English
ஓரளவிற்கு மேல்தான்,youtube,,,Tamil
Ivanga ipadi panratha thappu than but Nan onnu kekuren ippo kothanar sitthal la irukaravanga first ipadithan panitu thiranjakala athu mattum illa paduchutu velaiye kedaika matinguthu ippo kathanar sitthal nalla than sambathikuranga apran veetla pathu kalyanam Pani vacha ethanaiyo husband olunga velaiku pogama kudchutu thiriyiranunga apdi patta vangala kalyanam pana pombalaingala intha Vella pakuranga summa pesanum nu pesakoodathu😡,youtube,,,Tanglish
​ @AruljothiSanthosam super bro,youtube,,,English
வீட்ல பாத்தா சத்தம் போடுவாங்கனு பயம் இல்லையா?,youtube,,,Tamil
Iyoo venama ma romba seripu seripu pa varuthu enna laa mudilaa pa appram romba sirichaa....😂😂😂... vitla adivanguvaa😂😂,youtube,,,Tanglish
0:24 intha ponnu en kuuda padicha ponutha... 10th fail aaitu pass pani vanthu theripium fail aaga poora🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️... School ah avaluku tc kuduthum ava vaalu aranthu poogala Yen class la avala sori muunji nu kuupuvaanga... But ithu maari illa neengala nalla padikanum..👍🏻,youtube,,,Tanglish
இதுங்கள பெத்ததுக்களை கட்டி போட்டு வெளுக்கணும் வளர்ப்பு சரி இல்ல,youtube,,,Tamil
சூப்பர் வீடியோ பா நாய் காதல் செம 👌👌👌👌👌👌👌,youtube,,,Tamil
Enkku 36 age aachu. Single very sad - Franklin old town Vellore,youtube,,,English
பெற்றோர் கவனத்திற்கு......,youtube,,,Tamil
😂😂😂😂 தரமான எடிட்டிங் 😂😂😂,youtube,,,Tamil
Nee thaya editor uh🎉😂❤,youtube,,,English
ப்ரோ ரோல் வீடியோ நல்லா இருக்கு ஆனா அந்த இடையில சிரிக்கிறான் பாத்தியா ஒருத்தன் அந்த சீனை எடுத்துடு பத்திக்கிட்டு வருது,youtube,,,Tamil
😂😂😂😂😂😂😂😂😂 vera level anna,youtube,,,Tanglish
இதுங்கள சோல்லி என்ன பன்ன இவங்க அப்ப அம்மா ல சோல்லனும்😡😡😡,youtube,,,Tamil
Vera level 🔥😂❤,youtube,,,Tanglish
Enne um inde 90k kku seidu kolluggada nanbarggrlla podusa tan pa phone eduttan vandu patta ippediy ellam irukka ippo tan purindu 2k lla irundallum valluradu 90k pole tan😒😒😒,youtube,,,Tanglish
Vera level 😂😅😊,youtube,,,Tanglish
அனைவரையும் POCSO சட்டத்தின் கீழ் வழக்கு பதிவு செய்து சிறையில் அடைக்க வேண்டும்,youtube,,,Tamil
uncontrolled laughing 😂😂😂😂😂😂😂😂😂😂😂😂😂😂 super ma,youtube,,,English
பாவம் பா இந்த 90s kids எல்லாம் ரொம்ப மனசு வருத்தமா இருக்கு 😢 ஏன்னா நானும் 90சரி kid தான் 😢 இத எல்லாம் பாத்தா ஏன் மனசாட்சி ஏங்கிட்ட ஏன்டா ஒரு மொலம் கயிறு இருந்தா போய் தூங்கு ல தொங்கு டா ன்னு சொல்லுது இவங்க தான் நம் நாட்டின் எதிர்கால தூன்கள் ஒத்த சய்.... செருப்புகல்,youtube,,,Tamil
Apo school poradhu reels podadhan😂 Naamalam interval sapada early morning friends oh da onna sapudave povomeda😂,youtube,,,English
சரியான தலைப்பு,youtube,,,Tamil
Soriyar model youth 😂😂😂😂😂😂,youtube,,,English
10நிமிஷம் தல் லி படுதீர்க்கலாம்,youtube,,,Tamil
பாவம் டா கடவுள்க்கே சொதனை,youtube,,,Tamil
Bro Darshan😂😂😂,youtube,,,English
"friend's, Amma, appa varamaatanga anaa ungalukku bestie vandhuruvana onnu mattum purijikkonga that the parents ,friends, teachers are the good and pure souls in this world namma eppovum nalla irukkanumnu nenaikkaravanga dhan avanga onnum ungalukku bestie ellathayum seiyalaye",youtube,,,Tanglish
நாய்க் காதல் ❤,youtube,,,Tamil
4:36 2.9M likes 😑😑 I can't digest this🤐🤐🫨🫨,youtube,,,English
ஐயோ கலக்குறீங்களே 😍,youtube,,,Tamil
நாடு நாசமா போகும்,youtube,,,Tamil
0:12 1:12 8:14 bro id solu bro intha couple odadhu Konjam reels podumothu per vara mari podu bro please 8:16,youtube,,,Tanglish
Vera level 🔥🔥🔥,youtube,,,Tanglish
Ella period indhu iruku but mobile romba idha encourage pannudhu,youtube,,,Tanglish
என் கட்ட Mela,youtube,,,Tamil
Jodi illama opening la irundha ponnu en ku dhaa padikkura name Jenifer Yen bro troll pannala romba varuthama irukku😂,youtube,,,Tanglish
போய் யூனிபார்ம் டிரெஸ் மாத்து எரும😮😮😮,youtube,,,Tamil
Tamil community super 👌,youtube,,,English
"Ituga amma appa la irukangala, ila konnutingala therila",youtube,,,Tanglish
Vera level 😂😂😂 edit ❤❤❤,youtube,,,Tanglish
அந்த கடைசி ஜோடி பேரென்ன கொஞ்சம் சொல்லுங்க,youtube,,,Tamil
😅😂😊what. Bro. Boy. Ok. Geal. To,youtube,,,English
Bro kastama irrukku bro,youtube,,,Tanglish
Bro neenga first video poterkingla avanga I'd enna solringa,youtube,,,Tanglish
En first lover s.subashini innaikku enga irukkaanganu theriyala ? Aana 2008 enna nambi Chennai ku vanthaanga. Veetla pirichittaanga.. ippo eanakku vera ponnoda marriage aahi 2 pen kulanthai age attend pannitaanga. Aanaal indrum avanga meethu eanakku madhippum mariyaathayum undu... This 90kids .... Oru naal night avanga enkooda odivanthappakooda avangala naan thodala???? This 90kids ..... Ippo?????? 1 minutes naasaamaa potchu naade. For example 2k kids..mathippu mariyaathaai vetkam ennavendre theriyaatha oru janthukkal,youtube,,,Tanglish
Lost dialogue is related enna da valka edi 🤡,youtube,,,Tanglish
கமென்ட் என்ன வந்ததுனு கெட்ட வார்த்தையா போடுறியே....உன் குடும்ப பெண்களுக்கு அந்த வார்த்தையை எல்லாம் சொல்லி சந்தோசப்படு,youtube,,,Tamil
😂 bro 1 st couple I'd enna??,youtube,,,Tanglish
8:07 avanga id sollu bro,youtube,,,Tanglish
Love பத்தி என்னடா நினைச்சீங்க ❤️❤️❤️,youtube,,,Tamil
2k kids ku indha nelama thanga mudila innum 3k kids vandha enna aga podho 🙄😕,youtube,,,Tanglish
K d😊 girl s and boys,youtube,,,English
Pavingala 30 vayasu akiduchu innum future a pathina payam irukku eppu da ipdi suthikittu irukinga kandravi en parents nenachi ippo sandosama irukku,youtube,,,Tanglish
Aijajoo mudilla da saami But I am a SriLankan and I am 15 but Innai varaikkum enkidda Instagram/ TikTok ethuvume illa 😅😂 Aijajoo That Aikiri nanthini pathathume Ennoda reaction antha Aalu sirikkira maari tha irunthichu Bro 😂 Omg that poom poom madu kaaran 😂😂😂😂😂😂 and that Hoi Hoi Gay 😂,youtube,,,Tanglish
"Anna Anni , Mama akka nu Comments pannitu Oru tharkuri Kootam Irukuthuga vera karumam....!",youtube,,,Tanglish
8:12 kindly tell their id bro,youtube,,,English
They are thinking that it is a prestigious to them but according to it is a cringe,youtube,,,English
Thanks 😅,youtube,,,English
சில்வர் மண்டையன்,youtube,,,Tamil
இதுக 2000 ல பிறந்ததுக இல்ல.2010 பிறந்ததுக,youtube,,,Tamil
Kutty kujaan id name please please please please please please please please please please please please please please please 😊😊😊😊😊😊,youtube,,,English
Ipolam periya pasangala Vida chinna pasangala patha than payama iruku😮 I am a new mother enaku girl baby 😢avala epadi intha societyla pathukapa valaka poranu rompa payama iruku 😢,youtube,,,Tanglish
